Income,Year,Average of Sum of Energykcal2,Average of Sum of EnergykJ2,Average of Sum of FoodEkcal2,Average of Sum of FoodEkJ2,Average of bmival22,Average of AgeR
1,1,7258.410726,244630249.7,2.00988E+12,7.48675E+16,24.26417471,27.88361749
1,2,6765.900385,219953996.7,1.77602E+12,6.59121E+16,23.16803094,27.72608696
1,3,6808.994974,213156424.2,1.63689E+12,5.64911E+16,23.23871274,28.11155378
1,4,6022.325413,198279583.1,1.63653E+12,6.23578E+16,20.23206703,30.23731048
1,5,6209.780394,193855986.1,1.48742E+12,5.13727E+16,21.77007538,29.976
1,6,4790.443728,150500001,1.2034E+12,4.45635E+16,17.10486544,27.57314149
1,7,6151.702065,196214872.6,1.63375E+12,6.46618E+16,21.07183939,27.72040302
1,8,5857.432536,174916241,1.31225E+12,4.50612E+16,20.7861331,29.34447301
1,9,5251.493057,158978814.1,1.2557E+12,4.75534E+16,19.00775215,25.87837838
1,10,5739.011139,176816545,1.37221E+12,4.85057E+16,20.83783444,26.42450142
1,11,5752.721415,165036068.6,1.17541E+12,3.76926E+16,21.28979576,29.64906832
2,1,10069.69182,351979833,2.85598E+12,1.04195E+17,29.93559326,32.91764706
2,2,10332.60652,353375027.4,2.83339E+12,1.02057E+17,34.04895412,36.07843137
2,3,9892.933814,332329137.4,2.61667E+12,9.10889E+16,31.05959714,34.47115385
2,4,8945.365591,300960495.1,2.36084E+12,8.25698E+16,30.08715576,33.7295082
2,5,5975.290569,196949727.9,1.61358E+12,6.02492E+16,20.64885462,28.42857143
2,6,4091.69644,129741119.4,9.98642E+11,3.42818E+16,14.91360902,28.03351955
2,7,6714.467204,221881055.6,1.81574E+12,6.72298E+16,22.19,30.82460733
2,8,6048.398455,210309024.3,1.84973E+12,7.41066E+16,19.21698837,28.87164179
2,9,6403.7531,212263523.4,1.77366E+12,6.76133E+16,21.68763774,33.60674157
2,10,6551.715125,193501375.8,1.40973E+12,4.67373E+16,23.57449204,29.97982709
2,11,7087.003011,235787178.1,1.94026E+12,7.22865E+16,22.96838679,30.69871795
3,1,4588.686693,132840943.8,8.9921E+11,2.5881E+16,18.57653909,47
3,2,10737.19127,360711056.1,2.72291E+12,8.74178E+16,35.92498113,40.25
3,3,11592.93681,398386696.8,3.09844E+12,1.02089E+17,33.52367664,45.75
3,4,5278.799457,178352320.2,1.38963E+12,4.61269E+16,19.52527118,63.66666667
3,5,7453.124342,250682916.2,2.00516E+12,7.14031E+16,24.05360675,30.9619883
3,6,5652.374745,195685249.7,1.63944E+12,6.13881E+16,18.51698981,28.87286064
3,7,8372.469985,292848597.6,2.49292E+12,9.54796E+16,26.91227934,30.2804878
3,8,7659.305449,251104289.6,1.95257E+12,6.73362E+16,26.33043425,30.75324675
3,9,7660.102164,257704319.7,2.10576E+12,7.72387E+16,25.61884972,29.80886427
3,10,7923.06251,257835946.2,2.00965E+12,6.96194E+16,26.72816857,31.41642229
3,11,7722.931155,255592313.2,2.05545E+12,7.36355E+16,25.12996684,29.9047619
